title,usd_price,transmission,motor,locationofengine
Mazda 3 2019,21 373 $,Автомат, Бензин 1.5 л ,Передний привод
Mazda CX-5 2020,29 043 $,Автомат, Бензин 2.0 л ,Передний привод
Mazda CX-30 2020,27 354 $,Автомат, Бензин/Электричество 2.0 л ,Передний привод
Mazda CX-5 2020,29 019 $,Автомат, Бензин 2.0 л ,Передний привод
Mazda 3 2019,23 060 $,Автомат, Бензин 1.5 л ,Передний привод
Mazda CX-5 2020,28 490 $,Автомат, Бензин 2.0 л ,Передний привод
Mazda 6 2019,32 093 $,Автомат, Бензин ,Передний привод
Mazda CX-9 2020,54 703 $,Автомат, Бензин 2.5 л ,Полный привод
Mazda CX-3 2019,25 749 $,Автомат, Бензин 2.0 л ,Полный привод
Mazda CX-30 2020,27 338 $,Автомат, Бензин/Электричество 2.0 л ,Передний привод
Mazda CX-5 2020,28 467 $,Автомат, Бензин 2.0 л ,Передний привод
Mazda CX-30 2020,27 151 $,Автомат, Бензин/Электричество 2.0 л ,Передний привод
Mazda CX-5 2020,28 490 $,Автомат, Бензин 2.0 л ,Передний привод
Mazda CX-3 2019,25 764 $,Автомат, Бензин 2.0 л ,Полный привод
Mazda CX-5 2020,41 973 $,Автомат, Бензин 2.5 л ,Полный привод
Mazda CX-30 2020,29 738 $,Автомат, Бензин/Электричество 2.0 л ,Передний привод
Mazda CX-5 2020,30 822 $,Автомат, Бензин 2.5 л ,Передний привод
Mazda CX-5 2020,38 340 $,Автомат, Бензин 2.5 л ,Полный привод
Mazda CX-5 2020,28 490 $,Автомат, Бензин 2.0 л ,Передний привод
Mazda CX-9 2020,54 703 $,Автомат, Бензин 2.5 л ,Полный привод
Mazda CX-5 2020,28 461 $,Автомат, Бензин 2.0 л ,Передний привод
Mazda CX-5 2020,28 490 $,Автомат, Бензин 2.0 л ,Передний привод
Mazda CX-3 2019,24 665 $,Автомат, Бензин 2.0 л ,Полный привод
Mazda CX-30 2020,34 710 $,Автомат, Бензин/Электричество 2.0 л ,Полный привод
Mazda 6 2019,32 764 $,Автомат, Бензин ,Передний привод
Mazda CX-5 2019,30 301 $,Автомат, Бензин 2.5 л ,Полный привод
Mazda CX-9 2019,46 743 $,Автомат, Бензин 2.5 л ,Полный привод
Mazda CX-3 2019,23 700 $,Автомат, Бензин 2.0 л ,Передний привод
Mazda 6 2019,33 087 $,Автомат, Бензин ,Передний привод
Mazda CX-5 2020,41 973 $,Автомат, Бензин 2.5 л ,Полный привод
Mazda CX-3 2020,26 500 $,Автомат, Дизтопливо 1.5 л ,Полный привод
Mazda CX-5 2020,28 490 $,Автомат, Бензин 2.0 л ,Передний привод
Mazda CX-3 2020,26 500 $,Автомат, Дизтопливо 1.5 л ,Полный привод
Mazda CX-5 2020,28 490 $,Автомат, Бензин 2.0 л ,Передний привод
Mazda CX-5 2020,28 490 $,Автомат, Бензин 2.0 л ,Передний привод
Mazda CX-30 2020,27 338 $,Автомат, Бензин/Электричество 2.0 л ,Передний привод
Mazda CX-5 2020,28 490 $,Автомат, Бензин 2.0 л ,Передний привод
Mazda CX-5 2020,28 981 $,Автомат, Бензин 2.0 л ,Передний привод
Mazda CX-3 2020,26 500 $,Автомат, Дизтопливо 1.5 л ,Полный привод
Mazda 6 2019,33 087 $,Автомат, Бензин ,Передний привод
Mazda CX-3 2020,24 665 $,Автомат, Бензин 2.0 л ,Передний привод
Mazda CX-5 2019,36 533 $,Автомат, Бензин 2.5 л ,Полный привод
Mazda CX-9 2020,54 703 $,Автомат, Бензин 2.5 л ,Полный привод
Mazda CX-5 2020,38 340 $,Автомат, Бензин 2.5 л ,Полный привод
Mazda 3 2019,24 695 $,Автомат, Бензин 1.5 л ,Передний привод
Mazda 6 2020,27 196 $,Механическая, Бензин 2.0 л ,Передний привод
Mazda CX-30 2020,31 493 $,Автомат, Бензин/Электричество 2.0 л ,Полный привод
Mazda CX-9 2019,46 743 $,Автомат, Бензин 2.5 л ,Полный привод
Mazda CX-3 2019,25 749 $,Автомат, Бензин 2.0 л ,Полный привод
Mazda 3 2019,22 708 $,Автомат, Бензин 1.5 л ,Передний привод
Mazda CX-30 2020,27 338 $,Автомат, Бензин/Электричество 2.0 л ,Передний привод
Mazda 6 2019,24 076 $,Автомат, Бензин 2.0 л ,Передний привод
Mazda 3 2019,27 196 $,Автомат, Дизтопливо 1.8 л ,Передний привод
Mazda 3 2019,24 695 $,Автомат, Бензин 1.5 л ,Передний привод
Mazda 6 2019,24 901 $,Автомат, Бензин ,Передний привод
Mazda CX-3 2019,25 527 $,Автомат, Бензин 2.0 л ,Полный привод
Mazda CX-3 2020,28 028 $,Автомат, Бензин 2.0 л ,Передний привод
Mazda 6 2020,36 469 $,Автомат, Бензин ,Передний привод
Mazda 6 2020,31 287 $,Автомат, Бензин ,Передний привод
Mazda 6 2020,33 360 $,Автомат, Бензин ,Передний привод
Mazda 6 2020,36 469 $,Автомат, Бензин ,Передний привод
Mazda 6 2020,30 458 $,Автомат, Бензин ,Передний привод
Mazda 6 2020,27 196 $,Механическая, Бензин 2.0 л ,Передний привод
Mazda 6 2020,33 360 $,Автомат, Бензин ,Передний привод
Mazda CX-3 2020,29 734 $,Автомат, Бензин 2.0 л ,Полный привод
Mazda 6 2019,27 845 $,Автомат, Бензин ,Передний привод
Mazda 6 2020,36 469 $,Автомат, Бензин ,Передний привод
Mazda CX-3 2020,28 028 $,Автомат, Бензин 2.0 л ,Передний привод
